size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 1
8, 0, 0, 1, 0, 1
16, 1, 1, 0, 1, 1
32, 2, 2, 3, 3, 3
64, 6, 7, 7, 7, 8
128, 28, 30, 30, 31, 32
256, 118, 118, 118, 118, 119
512, 434, 429, 434, 437, 438
1024, 1670, 1642, 2068, 1674, 1661
2048, 7824, 6811, 6538, 8548, 6699
4096, 35514, 31181, 30969, 32347, 32174
8192, 146310, 146416, 145190, 148142, 147403
16384, 627860, 632451, 627758, 627560, 650022
32768, 2668815, 2665946, 2663279, 2664078, 2705885
65536, 10531655, 10627391, 10415284, 10342260, 10359899
131072, 36083882, 35484216, 35755287, 37552808, 36618058
262144, 119395918, 119331568, 115213291, 117662408, 118710269
