size, time1, time2, time3, time4, time5
2, 1, 0, 0, 0, 1
4, 0, 0, 1, 0, 1
8, 1, 0, 0, 1, 1
16, 1, 1, 1, 1, 2
32, 1, 1, 2, 2, 3
64, 2, 2, 2, 3, 6
128, 5, 4, 5, 7, 9
256, 14, 15, 15, 17, 20
512, 36, 36, 38, 40, 44
1024, 85, 85, 86, 87, 96
2048, 187, 188, 201, 190, 207
4096, 414, 417, 414, 419, 427
8192, 924, 938, 921, 925, 1117
16384, 1949, 1945, 1915, 1987, 1958
32768, 4130, 4212, 4168, 4272, 4244
65536, 9000, 8642, 8555, 8548, 9769
131072, 18436, 18662, 17839, 18463, 17951
262144, 36257, 36032, 36739, 36759, 36805
