size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 0
8, 1, 0, 1, 0, 0
16, 0, 0, 0, 1, 1
32, 1, 1, 1, 1, 2
64, 2, 2, 2, 3, 4
128, 4, 4, 4, 7, 8
256, 12, 12, 13, 15, 18
512, 32, 34, 35, 37, 39
1024, 88, 111, 85, 85, 89
2048, 183, 184, 187, 188, 191
4096, 414, 412, 421, 415, 445
8192, 1049, 916, 917, 919, 946
16384, 2004, 2002, 2004, 2018, 2038
32768, 4281, 4280, 4209, 4195, 4220
65536, 8980, 9030, 9305, 9007, 9061
131072, 19093, 18920, 19096, 19624, 19018
262144, 39421, 40186, 39545, 39997, 39777
