size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 1
8, 1, 0, 0, 1, 1
16, 1, 1, 1, 0, 1
32, 1, 1, 2, 2, 3
64, 2, 3, 3, 4, 5
128, 5, 6, 7, 9, 14
256, 19, 19, 20, 21, 24
512, 50, 51, 50, 52, 52
1024, 109, 111, 110, 112, 114
2048, 237, 238, 240, 242, 244
4096, 561, 592, 537, 540, 542
8192, 1136, 1137, 1141, 1140, 1139
16384, 2541, 2561, 2613, 2546, 2559
32768, 5421, 5532, 5390, 5437, 5505
65536, 11168, 11190, 11201, 11108, 11090
131072, 22170, 22299, 22248, 22602, 22606
262144, 60996, 58841, 56384, 54333, 55821
