size, time1, time2, time3, time4, time5
2, 1, 0, 0, 1, 2
4, 0, 0, 1, 0, 2
8, 0, 0, 1, 1, 3
16, 1, 1, 1, 1, 4
32, 1, 1, 1, 2, 5
64, 3, 3, 4, 5, 8
128, 9, 10, 9, 10, 17
256, 21, 23, 36, 86, 597
512, 52, 56, 54, 55, 59
1024, 111, 112, 113, 117, 132
2048, 245, 247, 248, 252, 283
4096, 572, 559, 572, 564, 595
8192, 1152, 1153, 1199, 1229, 1223
16384, 2530, 2545, 2522, 2521, 2576
32768, 5629, 5326, 5270, 5542, 5468
65536, 10659, 10636, 10827, 10729, 10751
131072, 22756, 22409, 22384, 22700, 22418
262144, 49591, 51866, 50728, 51771, 66005
