size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 0
4, 1, 2, 0, 0, 0
8, 1, 0, 0, 1, 0
16, 2, 1, 1, 1, 1
32, 3, 3, 3, 4, 4
64, 9, 11, 12, 13, 13
128, 42, 40, 41, 42, 44
256, 165, 163, 165, 168, 168
512, 612, 605, 607, 609, 620
1024, 2322, 2360, 2430, 2323, 2381
2048, 9188, 9206, 9218, 9513, 9914
4096, 39769, 40905, 39975, 39130, 40886
8192, 193190, 192034, 191762, 192118, 187927
16384, 818014, 841650, 811677, 819336, 831421
32768, 3277192, 3278177, 3279444, 3485380, 3409919
65536, 12741592, 12767115, 13127243, 12736632, 12827456
131072, 54557854, 47985663, 45653458, 45669216, 45624346
262144, 151959981, 153812931, 155716013, 166395344, 178351395
