size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 0
4, 0, 1, 0, 0, 1
8, 0, 1, 1, 0, 0
16, 1, 1, 1, 1, 2
32, 4, 4, 4, 4, 4
64, 12, 12, 13, 13, 13
128, 46, 47, 48, 48, 46
256, 176, 169, 172, 176, 172
512, 625, 629, 640, 630, 775
1024, 2553, 2572, 2630, 2566, 2552
2048, 10558, 10427, 10253, 10206, 10228
4096, 43186, 43296, 43385, 43879, 43700
8192, 197810, 200607, 201080, 200600, 201280
16384, 876385, 1041594, 871583, 863747, 869357
32768, 3488331, 3501210, 3494771, 3466280, 3585336
65536, 13432002, 13380167, 13801499, 13520193, 13553255
131072, 48086154, 48253764, 48500205, 48344623, 48598269
262144, 160917603, 161226898, 160719506, 161132522, 160927710
