size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 1
4, 1, 0, 0, 1, 1
8, 0, 1, 0, 0, 0
16, 1, 1, 1, 2, 1
32, 2, 2, 2, 2, 3
64, 3, 3, 4, 5, 6
128, 10, 10, 10, 12, 12
256, 26, 25, 27, 28, 29
512, 56, 57, 57, 58, 60
1024, 128, 128, 130, 130, 132
2048, 292, 290, 292, 292, 298
4096, 634, 630, 688, 636, 633
8192, 1335, 1338, 1340, 1365, 1392
16384, 2836, 2819, 2858, 2825, 2831
32768, 6192, 6186, 6533, 6169, 6336
65536, 13144, 13081, 13278, 13421, 13260
131072, 26678, 26501, 26912, 26795, 26858
262144, 58777, 60136, 60095, 59951, 60258
