size, time1, time2, time3, time4, time5
2, 1, 0, 0, 0, 1
4, 1, 0, 0, 0, 0
8, 0, 0, 1, 0, 1
16, 0, 0, 0, 1, 1
32, 0, 0, 1, 1, 2
64, 1, 2, 1, 2, 3
128, 2, 3, 3, 3, 6
256, 5, 5, 6, 7, 11
512, 12, 13, 16, 15, 24
1024, 26, 28, 33, 38, 51
2048, 59, 67, 78, 88, 116
4096, 194, 206, 199, 213, 236
8192, 492, 506, 500, 511, 518
16384, 1067, 1073, 1066, 1081, 1110
32768, 2268, 2279, 2279, 2282, 2333
65536, 4724, 4796, 4773, 4748, 4817
131072, 10543, 10614, 10546, 10204, 10054
262144, 21379, 21540, 21355, 21065, 20733
