size, time1, time2, time3, time4, time5
2, 5, 0, 0, 0, 0
4, 1, 0, 0, 0, 1
8, 0, 0, 1, 0, 2
16, 0, 1, 0, 1, 2
32, 0, 1, 1, 1, 3
64, 1, 2, 2, 2, 3
128, 3, 3, 3, 5, 7
256, 7, 7, 8, 9, 21
512, 16, 16, 17, 22, 30
1024, 51, 54, 56, 64, 75
2048, 120, 123, 157, 158, 383
4096, 290, 290, 295, 310, 307
8192, 679, 680, 683, 675, 675
16384, 1853, 1525, 1497, 1479, 1599
32768, 3150, 3198, 3145, 3407, 3358
65536, 6615, 6651, 6655, 6810, 7051
131072, 13765, 13640, 14988, 14567, 14228
262144, 28737, 27575, 27754, 28233, 28817
