size, time1, time2, time3, time4, time5
2, 0, 0, 1, 0, 0
4, 0, 0, 0, 0, 0
8, 1, 1, 1, 0, 0
16, 1, 1, 1, 1, 1
32, 2, 1, 2, 2, 2
64, 6, 9, 7, 7, 9
128, 20, 19, 20, 17, 20
256, 61, 63, 68, 114, 68
512, 351, 244, 276, 247, 249
1024, 1046, 1051, 1044, 1052, 1061
2048, 3815, 3780, 3972, 3843, 3679
4096, 15791, 15062, 15034, 15377, 17135
8192, 59135, 60451, 66015, 65121, 59604
16384, 283625, 287717, 290624, 284206, 277490
32768, 1582520, 1558967, 1566471, 1582908, 1562094
65536, 7213106, 7242825, 7278402, 7237613, 7207188
131072, 25769183, 25667172, 25966375, 25855784, 25653190
262144, 78832570, 79284426, 79039979, 78937413, 80476303
