size, time1, time2, time3, time4, time5
2, 0, 1, 0, 0, 0
4, 0, 0, 0, 0, 0
8, 0, 0, 1, 0, 1
16, 0, 1, 0, 1, 0
32, 0, 1, 1, 1, 1
64, 1, 2, 1, 1, 3
128, 2, 3, 2, 2, 6
256, 5, 5, 5, 7, 12
512, 12, 12, 13, 18, 25
1024, 35, 44, 45, 52, 61
2048, 89, 92, 100, 108, 123
4096, 228, 230, 242, 313, 269
8192, 544, 561, 530, 542, 559
16384, 1461, 1281, 1259, 1483, 1246
32768, 2539, 2531, 2565, 2706, 2638
65536, 6284, 6019, 6124, 6368, 5989
131072, 13128, 13474, 13032, 12917, 13315
262144, 27479, 26984, 26665, 27141, 27425
