size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 0
4, 1, 0, 1, 0, 0
8, 0, 0, 0, 1, 0
16, 0, 0, 1, 1, 1
32, 2, 3, 3, 3, 3
64, 11, 13, 12, 10, 12
128, 36, 37, 38, 30, 36
256, 151, 146, 148, 117, 152
512, 587, 422, 466, 421, 411
1024, 1707, 1766, 1683, 2466, 2369
2048, 9911, 6482, 8978, 8754, 8248
4096, 28539, 28576, 30185, 28219, 28556
8192, 130371, 129941, 130314, 130656, 129984
16384, 590661, 590185, 609529, 588631, 612261
32768, 2503742, 2504601, 2592723, 2619173, 2519841
65536, 9689033, 9648059, 9681407, 9654473, 9696020
131072, 34171398, 34047054, 34215899, 33998788, 34248261
262144, 110662581, 110811008, 110789328, 110694049, 111131820
