size, time1, time2, time3, time4, time5
2, 1, 1, 2, 19, 9
4, 1, 1, 7, 2, 2
8, 1, 1, 4, 2, 4
16, 2, 5, 2, 3, 6
32, 2, 3, 3, 3, 5
64, 6, 16, 8, 8, 11
128, 6, 14, 10, 10, 13
256, 19, 23, 21, 19, 31
512, 37, 44, 40, 40, 46
1024, 79, 80, 82, 106, 88
2048, 223, 237, 182, 270, 333
4096, 386, 390, 388, 388, 413
8192, 854, 853, 851, 856, 868
16384, 1831, 1832, 1833, 1832, 1887
32768, 3908, 3941, 3905, 4007, 3934
65536, 8051, 8078, 8050, 8689, 8184
131072, 16873, 16897, 16890, 17071, 16837
262144, 34636, 34550, 34612, 34718, 34642
