size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 0
4, 0, 1, 0, 0, 0
8, 0, 0, 0, 0, 1
16, 0, 1, 0, 1, 1
32, 1, 1, 1, 1, 2
64, 3, 4, 3, 4, 5
128, 5, 6, 7, 7, 8
256, 14, 16, 16, 16, 17
512, 33, 34, 37, 35, 36
1024, 73, 74, 75, 78, 80
2048, 364, 229, 214, 206, 253
4096, 374, 374, 376, 379, 380
8192, 808, 809, 812, 831, 818
16384, 1746, 1744, 1746, 1759, 1756
32768, 3757, 3743, 3801, 3763, 3749
65536, 8111, 8116, 8133, 8099, 8121
131072, 17925, 17874, 17885, 17888, 17883
262144, 37311, 37305, 37370, 37334, 37357
