size, time1, time2, time3, time4, time5
2, 1, 0, 0, 0, 1
4, 0, 0, 0, 0, 1
8, 0, 1, 0, 0, 1
16, 1, 0, 0, 0, 1
32, 1, 0, 0, 1, 1
64, 1, 2, 1, 2, 4
128, 3, 3, 3, 4, 7
256, 6, 6, 8, 11, 16
512, 22, 23, 25, 29, 34
1024, 65, 67, 70, 76, 80
2048, 144, 146, 147, 153, 158
4096, 334, 333, 334, 339, 348
8192, 721, 711, 713, 720, 732
16384, 1351, 1356, 1354, 1354, 1373
32768, 2954, 2918, 2991, 2986, 2983
65536, 6849, 6607, 6753, 6555, 6631
131072, 14425, 14023, 14162, 14196, 14868
262144, 30030, 29422, 30954, 29047, 31470
