size, time1, time2, time3, time4, time5
2, 0, 0, 1, 0, 0
4, 0, 0, 0, 0, 1
8, 0, 1, 0, 1, 1
16, 0, 1, 1, 0, 1
32, 1, 1, 1, 1, 3
64, 2, 2, 2, 3, 5
128, 6, 6, 7, 7, 11
256, 11, 13, 13, 14, 19
512, 28, 28, 31, 34, 40
1024, 71, 74, 78, 79, 84
2048, 172, 173, 173, 175, 187
4096, 376, 376, 380, 386, 393
8192, 825, 837, 839, 879, 860
16384, 1762, 1761, 1757, 1863, 1573
32768, 3310, 3319, 3583, 3387, 3351
65536, 7380, 6871, 6871, 7072, 7081
131072, 14480, 14582, 14709, 14837, 14511
262144, 30687, 30570, 30589, 30759, 31517
