size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 0
8, 1, 0, 0, 0, 0
16, 1, 1, 0, 1, 1
32, 2, 3, 2, 2, 2
64, 7, 11, 7, 9, 9
128, 29, 22, 23, 25, 28
256, 99, 98, 103, 101, 102
512, 387, 380, 381, 386, 381
1024, 1618, 1567, 1589, 1461, 1455
2048, 5692, 5704, 5676, 5790, 5664
4096, 22596, 22540, 24160, 25124, 22557
8192, 79007, 79217, 79275, 85243, 90462
16384, 422007, 407364, 421687, 429472, 422683
32768, 2044907, 2067129, 2070694, 2050179, 2073612
65536, 7963512, 7968717, 8015779, 8006560, 8028851
131072, 28922882, 28896326, 28963800, 28982304, 29045496
262144, 238374213, 96557411, 96569197, 98065431, 99304600
